merged_key,ieee_key,acm_key,match_type,score,isbn,ieee_file,acm_file
,7739688,10.1145/3756580.3756611,TITLE,88,1943-6106,ieee_scraped_20251026_122614.bib,acm_completo_20251026_125433.bib
,8709361,10.1145/3756580.3756611,TITLE,100,9780262353410,ieee_scraped_20251026_122614.bib,acm_pagina_2_20251026_130722.bib
,4958823,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9526726,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,5673139,,UNMATCHED_IEEE,0,2377-634x,ieee_scraped_20251026_122614.bib,
,10663178,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9990631,,UNMATCHED_IEEE,0,2770-4807,ieee_scraped_20251026_122614.bib,
,10505497,,UNMATCHED_IEEE,0,2474-3828,ieee_scraped_20251026_122614.bib,
,8005431,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,10496944,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,6883021,,UNMATCHED_IEEE,0,1943-6106,ieee_scraped_20251026_122614.bib,
,6685067,,UNMATCHED_IEEE,0,2377-634x,ieee_scraped_20251026_122614.bib,
,10159750,,UNMATCHED_IEEE,0,2623-8764,ieee_scraped_20251026_122614.bib,
,9973092,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,11092227,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,6268116,,UNMATCHED_IEEE,0,2161-377x,ieee_scraped_20251026_122614.bib,
,9645630,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9071265,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,8964889,,UNMATCHED_IEEE,0,2474-3828,ieee_scraped_20251026_122614.bib,
,6926430,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,10664997,,UNMATCHED_IEEE,0,2473-7623,ieee_scraped_20251026_122614.bib,
,10027412,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9066359,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9684795,,UNMATCHED_IEEE,0,2051-1329,ieee_scraped_20251026_122614.bib,
,9247066,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,5228288,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,10748139,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9766703,,UNMATCHED_IEEE,0,2165-9567,ieee_scraped_20251026_122614.bib,
,8131700,,UNMATCHED_IEEE,0,1368-9894,ieee_scraped_20251026_122614.bib,
,7739692,,UNMATCHED_IEEE,0,1943-6106,ieee_scraped_20251026_122614.bib,
,11092056,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9728803,,UNMATCHED_IEEE,0,1738-9445,ieee_scraped_20251026_122614.bib,
,10892914,,UNMATCHED_IEEE,0,2377-634x,ieee_scraped_20251026_122614.bib,
,10685695,,UNMATCHED_IEEE,0,2766-2144,ieee_scraped_20251026_122614.bib,
,8853613,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,5881653,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,8995066,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,8494172,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,8709358,,UNMATCHED_IEEE,0,9780262353410,ieee_scraped_20251026_122614.bib,
,11092264,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9272097,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9603471,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,6756334,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,6813968,,UNMATCHED_IEEE,0,1558-1756,ieee_scraped_20251026_122614.bib,
,7369019,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,8567181,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,10361088,,UNMATCHED_IEEE,0,2766-2144,ieee_scraped_20251026_122614.bib,
,6778575,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9028503,,UNMATCHED_IEEE,0,2377-634x,ieee_scraped_20251026_122614.bib,
,11092078,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9477758,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,8467140,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,11158007,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,9534576,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,8308511,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,5169480,,UNMATCHED_IEEE,0,2155-1812,ieee_scraped_20251026_122614.bib,
,11019799,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,7557641,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,8693273,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,7193021,,UNMATCHED_IEEE,0,,ieee_scraped_20251026_122614.bib,
,10530940,,UNMATCHED_IEEE,0,1557-9638,ieee_scraped_20251026_122614.bib,
